review_id,order_id,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp
c01eaa86159b994afb4c5eb920993ebc,16e38caa92e342c7780f68832f832d4d,5,,,2018-05-25,2018-05-25 03:45:28
30f2619843ddd4a19bbcb306669d2bf0,5bb8d2fbca419676d395687e28f5263b,5,Muito Bom,Só imaginei que fosse maior a boneca. Mais é legal ,2018-07-24,2018-07-26 22:37:06
1c036db1a8f4f0b4a900e227cd87383d,fcc0c3371e0af4947b6b4c013ecc6e35,4,,O produto chegou conforme anunciado. Gostei.,2018-02-03,2018-02-03 22:38:34
0a5d09b8756d5e3b6effecb5986e394d,9682a979182968d8d0b1a356f8bb330e,5,,,2017-06-17,2017-06-17 23:14:59
642be66d80f7dc6f5947f84daf557d4b,22df89b611e2a03b4957043cf949e51f,5,,,2018-08-28,2018-08-28 13:07:10
8405ac15950641d7378ab0f2bac5e592,d5d0829757e3f168a603b3c272d96fff,5,,"Gostei muito do meu produto só acho que
os panos poderiam ser maiores, mais está
Tudo certo....super recomendo este sitie,
entrega muito antes do prazo...com certeza irei comprar outras vezes.
",2018-03-16,2018-03-17 11:54:55
2202268b4d7bb8d133ffc1eb22dd1967,2282f08c7a3e5bc3e7b84bb444d6e1e6,5,,,2018-04-27,2018-05-01 19:52:47
514556f7494bc6bd447d06550c9e28b3,36e2a95392e7e15e80e0937066007a56,5,,"Produto chegou dentro do prazo especificado pela loja vendedora e em perfeito estado, nenhuma avaria no mesmos.",2018-04-11,2018-04-16 01:31:16
3af8148a09b008f63ecbcbe702fc04f1,63dd1232853b91debb2470c70da85dca,4,,Frete caro,2017-08-26,2017-08-27 18:39:12
e6b1d54707b710b0f0f3b3819f94b8fa,908c02868bb2a9b847e64b23139137e5,5,,,2018-06-27,2018-06-29 20:24:01
7312244806651234199206c84f565453,4cdf8813fc5f4c3d74041453f606868c,1,,Comprei são faz tempo e nada estou indiguinado paguei 279 e cadê meu aparelho,2017-10-25,2017-10-25 09:03:05
246f2acddcff8d69e65339e939d1ee34,e8dea63f68386b3d95962ffb4dc4aaea,5,,,2017-10-26,2017-10-26 16:32:11
b0052a0c9eeaa86bfcdcad33b04baf2f,557feacb7d186d0cacec3e801d38fc8f,5,,"Muito rápido, não abri a embalagem ainda, mas acredito que esteja tudo certo.",2018-01-12,2018-01-12 16:57:27
7a03404f98bb59dc4c1719da32935b88,39a70e9e9b729b11dee34ac12478597f,3,,Achei o produto razoável.,2017-08-23,2017-08-23 23:32:32
dc0438c1f343ae123446a711e6251d13,515ad53b1bdf1d9da25e0c1079a1b242,3,,,2018-06-07,2018-06-10 01:55:10
53e58368e68f4e4816c966505e1680ae,8628cf35f313fe2e46a2168f21860031,5,,,2017-12-13,2017-12-14 12:19:10
a193e8ab376725be9359279757ec055e,bb95c9f509ff2da87b6015a0d9046f0f,5,Ótimo,"Tudo perfeito amei o produto exatamente o que eu precisava.
A loja também várias vezes que compro sempre no prazo certo e produtos bem embalados e excelente preço.",2018-05-15,2018-05-15 22:33:57
07f2357e36a8e6a6c70f4e4d6515aff4,8f2b0c41d21837f8c6d4682867c66ffb,4,,Produto muito bom!!!,2017-06-28,2017-07-01 01:08:31
b928be3a9fb638f4eea31d7da9ba30e5,410cfb42b9a36728a695fe883df04ebf,5,ÓTIMO ATENDIMENTO.,,2018-06-29,2018-07-03 20:15:26
7e3ccbbcbb0291cd475e0a81a7fb9b1c,abd7d619de0d42df3a64707190c05bb6,5,,,2018-08-04,2018-08-05 11:35:37
d65d89af7c074cac7691c06e2179da11,b2da70916ed4e4cde3df9e1381154631,5,,,2017-12-28,2017-12-29 04:43:18
dcb5a99ac081043da014276823f67c51,09a0d7c2cc6f652acd3537e7a91c7000,1,,"No anúncio dizia ""Marca--- Canon"" e eu recebi um produto ""Similar"" ""compatível"". Se eu quisesse um produto falsificado/pirata compraria na minha cidade por 10 reais, não precisaria recorrer à internet",2017-05-20,2017-06-05 18:40:59
32846e905851c460f8572acfdf292d76,d7a1546121d90a9aaae7a851291d2ac6,5,,Entrega feita antes do prazo,2017-11-25,2017-11-29 00:51:05
22d926cae8331cc6e1b2091cd8db9a68,3b1c5a036e0412d8c9dda3d6df67782a,4,,,2017-03-22,2017-03-23 13:12:58
6849f7723dc9e2decae40cd28a27f031,fd117d65267f58ad33d914a3cc317543,5,,"perfeito porque é bem feito e com matéria prima de primeira, adoreu",2018-03-24,2018-03-24 20:36:06
5c43964c63907c03148da5d46ca50c9a,a8011c5b1b6536063a53c05cabf56bb0,1,,,2018-01-25,2018-01-28 11:25:56
79994d95024b6e294eb6ac15ecdcbe74,bd34db34f886a82d2f7e9214b6fd01e0,5,,"Ainda não instalei o produto, mas farei o mesmo na próxima semana",2018-01-24,2018-01-26 22:31:51
030ea5d715585d5854b21ee757a9b58b,cd6d5ca28fe5c4aabf7aec6f2968bd49,1,,"Passou do prazo da entrega, tudo bem que foi 1 dia, mas quando comprei produtos anteriores foram entregues antes do prazo,",2017-12-19,2017-12-19 18:47:04
8760b5561e1fad37d6f95b4eef160459,546c8958ff67b28473cf140ec32a5a91,1,,,2017-12-21,2017-12-22 15:35:22
41e3459f55b302caeecc3c100eda791a,80000ae9d118d79953522e35cce34f13,4,,,2017-03-09,2017-03-13 11:09:09
7563de85aedd1f55fb83d8ab23729940,2cdcc5a4a3365e4e73abd4d0774f8636,5,,,2018-06-23,2018-06-24 03:19:34
d7b9e9e361b04a1893f73db335042e35,f05ef3ecdb7796d93e204c0a7ab76759,5,,,2018-06-07,2018-06-09 23:11:53
840b5b3e721b62bffddd1fb843f2a9cb,19230cac8f45f89fc992b4048422b72e,4,,,2018-03-07,2018-03-09 11:16:51
66996a9ea67eaea88774a32b5a42760f,9458f512472606de1d13e5e0956e72cd,5,,,2018-05-19,2018-05-20 19:11:21
3ab794c31a69c4dd9defa0595803faa3,8b3bda465a61f930742d256916d1d7d9,1,,,2018-03-31,2018-03-31 10:00:55
4150cddb1f59fd4bf4e851acf091c396,bd84b661eb4bfa46487d94324e56dfec,5,,,2017-12-07,2017-12-07 18:58:50
6ce434883ab672c5f6e019058e012a43,e06ff711ddcab05c3651a9b1bb003950,4,,,2017-03-16,2017-03-16 11:58:31
e253b755ab4e38930312e2bd7cec1805,ce8502b200546c12a54e51a65f313f34,5,,,2017-04-08,2017-04-10 11:00:56
3cda46ccd7010d5be20f36f02ab42207,baaaa6a46bf8f53d113193a6a23efbd4,5,,"Rápida entrega! 
Com certeza comprarei nesta loja novamente. ",2017-12-27,2017-12-28 02:50:52
315ba0b0107f81b4bba5059c266c926d,31c97425f34d48507d57e56e0ec2986b,5,,,2017-09-17,2017-09-19 16:37:25
84ecfc9086eec1479f1b6342b2f8ff39,84dae977d83c491ec866b683875db2bf,5,,,2017-08-26,2017-08-28 11:43:45
9f343fdb90ccd7cc51ad9d22dbccba2b,3e7bc2221b2c46fafa06f741386784fc,1,,"recebi a nota fiscal de 6 produtos mas so entregaram 1 , liguei para o lojista e foi ate atencioso falou que tinha enviado os 6 pois ele falou que tinha que fazer uma encomenda(caixa) para cada vidro ",2017-07-25,2017-07-27 19:19:47
59525224cd877f9befcb1ea7876f70d1,61f82b319ee0352b3b8525dfa467e0f2,4,,,2017-11-11,2017-11-13 01:42:50
cc41f3fb112d4dd181bcda6e481fa895,5b7aed674843fc9b20d1c4cef543a761,3,,,2018-05-19,2018-05-21 18:59:31
