order_id,payment_sequential,payment_type,payment_installments,payment_value
17e5131fe1d4b1a8dc14d4a66914f9d7,1,credit_card,1,73.34
92f4f749aa508d58dee50d9ccdb6c9dd,1,credit_card,3,62.31
56430e0b9968b381942760e433583b27,1,debit_card,1,33.1
b34f86c59a76bef28aa32825ab4370f6,1,credit_card,1,292.86
8ef3801f58da6b652a3082e1fa5b6589,1,credit_card,2,129.15
5662e7f8bbc6abe55e104ac06994a731,1,credit_card,3,57.69
b18478bbf9b2283e3d12452f69fd9ce2,2,credit_card,1,79.92
c279543d72807dc9b91e39e5d87b5493,1,credit_card,5,103.11
09fd9b0402ed675bbd1ee1e81171ac7c,2,voucher,1,43.98
7b4cc813e327ec14c78f547a763f46b8,1,credit_card,3,399.35
a8011c5b1b6536063a53c05cabf56bb0,1,credit_card,1,31.77
8fad1f3654133d30218cd4b6fae827ee,1,credit_card,2,73.34
a9c74f167b0d8af61d6487fc21934f7e,1,boleto,1,246.23
cd3e9759dc483946db2133168746fddf,1,credit_card,2,185.57
20cae0a28869a4321d8fe372731f80e0,1,credit_card,1,85.8
b0200f320613faea21c999a90efa28ab,1,credit_card,1,69.93
5ec91483e95a827de47b9b592f44d893,1,credit_card,1,103.47
ea9a48e8b350731ae78378381394a086,1,credit_card,6,271.24
e6bcb00ca5426e9d00b50f8eeee367c7,1,credit_card,4,114.44
378d1ac3d8e22dd46990757398ae8500,1,credit_card,2,42.86
51c064ec2d79d398b30db3f8e1de8ec8,1,boleto,1,38.63
f939e2a89376e44158657a15465cacce,1,boleto,1,308.61
fe8568b0167c1e87d6f1dab1033c9278,1,credit_card,3,179.36
e504f586e9ffc862cad95482af740af4,1,credit_card,3,89.25
e3c291c9bddfedee62c613abb89f859e,1,credit_card,4,378.63
b18478bbf9b2283e3d12452f69fd9ce2,1,credit_card,1,84.0
bb787d6e68f079fbf94e8df39219086d,1,credit_card,3,38.03
12aab7cb25bc6ae86c66cb3e7dc35a76,1,credit_card,10,546.65
6bddfd31724ffefa23146e21bd173ef4,1,credit_card,10,251.97
bb102364b6a29f9f8683f21e5825595a,1,credit_card,1,20.08
8f2b0c41d21837f8c6d4682867c66ffb,1,boleto,1,74.63
67b50899f52995848c427e361e10dde3,1,credit_card,3,108.43
b4c45d4cc2a2e24e10d4e20bae928819,1,boleto,1,27.75
9eaec2635ebf99416ead21c62ef53f67,1,credit_card,3,65.0
3431dbb0c64629bd76dc81b736c46e4d,1,credit_card,2,394.09
20a2e132c352b08f18529a9478c011c1,1,credit_card,1,41.09
b6f243cc1d05e11375858c88a032ac32,1,credit_card,6,67.3
1d93a1f67fad3e9c8db7cf8ba268c790,1,credit_card,2,75.97
fb66173878dcc988e4e3e1151901b298,1,credit_card,1,127.92
e956fad47f301a19144afead1786de9d,1,credit_card,3,164.79
9822680d395506e5602b3c1ea555aa61,1,credit_card,1,49.37
7e4d4a50dc999bcf59d2e055db0f4b37,1,credit_card,7,79.56
9d7798901074855d45d6c586a0714942,1,credit_card,6,308.28
5d63bb487d989ba0efdbe1ff166bd38b,1,credit_card,6,70.91
